age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
72,retired,divorced,tertiary,no,438,no,no,cellular,23,279,1,-1,0,unknown,yes
39,management,married,tertiary,no,15,yes,yes,cellular,21,90,2,-1,0,unknown,no
59,retired,married,secondary,no,434,yes,no,unknown,12,63,3,-1,0,unknown,no
40,blue-collar,married,primary,no,2129,yes,no,cellular,20,1156,3,-1,0,unknown,no
40,services,divorced,secondary,no,49,no,yes,cellular,18,191,1,-1,0,unknown,no
46,management,divorced,tertiary,no,-49,yes,no,unknown,20,10,23,-1,0,unknown,no
38,blue-collar,married,unknown,no,5830,no,no,unknown,17,176,3,-1,0,unknown,no
32,admin.,single,secondary,no,2326,yes,no,unknown,20,62,3,-1,0,unknown,no
61,retired,married,secondary,no,86,no,no,cellular,25,639,1,94,1,success,yes
43,management,married,unknown,no,595,no,no,telephone,28,518,1,-1,0,unknown,no
29,admin.,married,tertiary,no,238,no,no,cellular,11,97,1,78,3,success,no
32,technician,married,tertiary,no,2553,yes,no,cellular,24,459,7,-1,0,unknown,no
31,blue-collar,single,secondary,no,509,yes,no,unknown,23,183,1,-1,0,unknown,no
34,technician,divorced,secondary,no,-324,no,no,cellular,14,166,4,-1,0,unknown,no
49,blue-collar,married,secondary,no,1157,no,no,cellular,18,91,4,-1,0,unknown,no
42,unemployed,married,secondary,no,4544,no,no,cellular,17,77,2,-1,0,unknown,no
36,technician,married,secondary,no,58,no,no,cellular,3,24,2,-1,0,unknown,no
34,admin.,married,secondary,no,642,yes,no,cellular,17,351,1,-1,0,unknown,no
28,blue-collar,single,secondary,no,56,yes,no,unknown,23,66,1,-1,0,unknown,no
39,technician,divorced,secondary,no,807,yes,yes,cellular,13,69,1,260,6,failure,no
29,student,single,tertiary,no,5,no,no,cellular,15,889,5,-1,0,unknown,yes
27,technician,married,secondary,no,1577,yes,yes,unknown,28,266,2,-1,0,unknown,no
35,technician,single,secondary,no,3490,yes,no,cellular,29,643,2,-1,0,unknown,yes
28,blue-collar,married,unknown,no,52,yes,no,unknown,13,226,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,836,no,no,cellular,27,199,4,-1,0,unknown,no
56,blue-collar,married,primary,no,136,no,no,cellular,4,270,1,-1,0,unknown,no
39,services,divorced,secondary,no,-718,yes,no,unknown,2,90,4,-1,0,unknown,no
77,retired,married,primary,no,121,no,no,telephone,7,191,1,-1,0,unknown,no
30,technician,single,tertiary,no,411,no,no,cellular,22,127,3,149,2,failure,yes
21,student,single,primary,no,423,no,no,cellular,8,104,5,-1,0,unknown,yes
39,admin.,married,secondary,no,7711,yes,no,cellular,8,289,1,-1,0,unknown,no
49,management,divorced,tertiary,no,348,no,no,cellular,30,125,1,-1,0,unknown,yes
48,technician,married,tertiary,no,2,no,no,cellular,3,165,5,6,3,other,no
57,retired,single,secondary,no,976,yes,no,cellular,9,98,1,-1,0,unknown,no
43,services,divorced,secondary,no,7816,yes,no,telephone,15,16,3,-1,0,unknown,no
56,blue-collar,married,secondary,no,244,yes,no,cellular,14,465,3,-1,0,unknown,no
28,management,single,tertiary,no,890,yes,no,cellular,7,201,1,-1,0,unknown,yes
43,self-employed,married,secondary,no,918,yes,no,unknown,6,193,1,-1,0,unknown,no
30,technician,married,secondary,no,484,yes,no,unknown,6,703,1,-1,0,unknown,yes
32,technician,married,unknown,no,14533,no,no,cellular,31,646,3,198,2,success,no
50,blue-collar,married,unknown,no,1389,yes,no,cellular,17,300,3,302,3,failure,no
34,management,married,tertiary,no,714,yes,no,cellular,31,8,27,-1,0,unknown,no
46,self-employed,single,primary,no,2032,no,no,cellular,30,424,2,-1,0,unknown,no
50,blue-collar,married,primary,no,1533,yes,no,unknown,5,325,2,-1,0,unknown,no
36,admin.,divorced,secondary,no,1573,yes,no,unknown,20,17,10,-1,0,unknown,no
35,management,divorced,tertiary,no,0,yes,no,telephone,29,171,1,-1,0,unknown,yes
32,management,married,secondary,no,134,yes,yes,cellular,15,532,3,-1,0,unknown,yes
80,retired,married,primary,no,997,no,no,cellular,28,151,1,91,3,success,yes
26,admin.,married,secondary,no,3160,yes,no,unknown,27,154,1,-1,0,unknown,no
58,blue-collar,married,primary,no,1596,yes,no,cellular,12,470,2,-1,0,unknown,no
50,blue-collar,married,secondary,no,825,yes,no,cellular,16,18,3,273,1,failure,no
36,technician,married,tertiary,no,4139,no,no,unknown,11,175,4,-1,0,unknown,no
56,admin.,married,secondary,no,382,no,no,cellular,20,275,1,-1,0,unknown,no
57,housemaid,married,primary,no,2234,no,no,unknown,11,201,5,-1,0,unknown,no
44,unemployed,divorced,tertiary,no,0,no,no,cellular,5,1960,3,-1,0,unknown,yes
46,entrepreneur,married,secondary,no,1375,yes,no,unknown,30,170,7,-1,0,unknown,no
45,blue-collar,married,primary,no,512,no,no,cellular,26,123,2,-1,0,unknown,no
30,blue-collar,married,secondary,no,61,yes,no,cellular,5,525,1,-1,0,unknown,yes
61,retired,married,tertiary,no,2557,yes,no,cellular,10,158,2,92,5,success,yes
48,management,married,tertiary,no,0,no,no,cellular,27,203,7,-1,0,unknown,no
26,technician,single,secondary,no,3070,yes,no,unknown,3,409,1,-1,0,unknown,no
36,services,divorced,secondary,no,-194,no,no,cellular,25,83,2,-1,0,unknown,no
27,admin.,single,secondary,no,18188,yes,no,unknown,12,541,17,-1,0,unknown,yes
37,blue-collar,married,primary,no,178,yes,yes,unknown,9,72,1,-1,0,unknown,no
31,student,single,secondary,no,1776,no,no,cellular,15,220,1,207,1,other,yes
57,management,married,tertiary,no,0,yes,no,unknown,14,124,1,-1,0,unknown,no
33,management,married,tertiary,no,71,no,no,cellular,26,335,3,102,2,failure,yes
49,entrepreneur,married,secondary,no,1916,no,yes,telephone,14,281,3,-1,0,unknown,no
32,management,single,tertiary,no,20,no,no,cellular,14,1151,2,-1,0,unknown,yes
39,blue-collar,married,primary,no,390,yes,no,cellular,17,206,1,-1,0,unknown,no
56,admin.,married,primary,no,0,yes,no,cellular,3,353,2,227,4,failure,no
37,admin.,single,secondary,no,862,no,no,cellular,20,85,1,122,2,failure,no
35,technician,married,tertiary,no,629,yes,yes,cellular,27,77,1,-1,0,unknown,no
29,management,single,tertiary,no,266,no,no,cellular,12,176,1,185,1,failure,no
36,technician,single,secondary,no,2511,yes,no,cellular,16,700,5,-1,0,unknown,yes
34,entrepreneur,married,secondary,no,4659,yes,no,unknown,30,28,1,-1,0,unknown,no
58,entrepreneur,married,secondary,no,0,no,yes,cellular,21,56,2,-1,0,unknown,no
37,blue-collar,married,secondary,no,91,yes,no,cellular,18,8,5,-1,0,unknown,no
51,admin.,single,secondary,no,1994,no,no,unknown,18,771,2,-1,0,unknown,yes
54,technician,married,secondary,no,433,no,no,cellular,29,89,2,-1,0,unknown,no
41,services,divorced,secondary,yes,-198,no,yes,unknown,14,133,1,-1,0,unknown,no
35,management,married,tertiary,no,552,yes,yes,cellular,18,222,1,-1,0,unknown,no
36,blue-collar,married,secondary,no,-73,yes,yes,cellular,18,15,8,-1,0,unknown,no
23,technician,single,secondary,no,598,no,no,cellular,30,166,1,-1,0,unknown,no
46,blue-collar,married,primary,no,185,no,no,cellular,25,226,10,-1,0,unknown,no
33,self-employed,single,tertiary,no,61,no,no,cellular,19,836,3,-1,0,unknown,yes
34,technician,single,tertiary,no,632,no,no,cellular,22,215,10,-1,0,unknown,no
76,self-employed,married,unknown,no,4984,no,no,telephone,28,403,1,182,1,success,yes
43,retired,married,secondary,no,520,yes,no,unknown,20,15,13,-1,0,unknown,no
49,technician,divorced,unknown,no,387,no,no,cellular,28,325,1,-1,0,unknown,yes
33,self-employed,single,secondary,no,136,yes,no,cellular,18,30,2,336,13,other,no
41,blue-collar,single,secondary,no,925,yes,no,telephone,13,43,1,-1,0,unknown,no
33,management,single,tertiary,no,373,no,yes,cellular,27,259,1,-1,0,unknown,no
46,technician,married,tertiary,no,342,yes,yes,cellular,5,84,1,-1,0,unknown,no
35,blue-collar,divorced,secondary,no,336,yes,no,cellular,14,191,1,346,2,failure,yes
59,retired,married,tertiary,no,4589,no,no,cellular,18,94,2,-1,0,unknown,no
31,admin.,married,secondary,no,10,no,no,cellular,15,156,4,-1,0,unknown,no
34,management,married,secondary,no,-311,yes,no,unknown,27,305,2,-1,0,unknown,no
47,blue-collar,married,secondary,no,-18,no,yes,cellular,22,155,2,-1,0,unknown,no
33,unemployed,married,secondary,no,1211,no,no,cellular,11,535,1,188,1,success,yes
28,technician,single,secondary,yes,-1042,yes,no,unknown,6,712,2,-1,0,unknown,yes
40,management,married,tertiary,no,5142,no,no,cellular,13,147,2,224,1,failure,no
46,blue-collar,married,secondary,no,1660,yes,no,unknown,6,259,1,-1,0,unknown,no
40,management,single,tertiary,no,242,yes,no,unknown,6,221,2,-1,0,unknown,no
50,management,married,primary,no,313,no,no,telephone,14,958,1,-1,0,unknown,yes
52,management,married,tertiary,no,1227,no,no,cellular,22,1123,4,-1,0,unknown,yes
81,retired,married,primary,no,243,no,no,cellular,27,131,1,-1,0,unknown,yes
31,admin.,married,secondary,no,941,yes,no,cellular,8,213,4,-1,0,unknown,no
45,admin.,divorced,secondary,no,397,yes,yes,cellular,22,582,1,95,2,success,yes
36,management,divorced,tertiary,no,8119,no,yes,cellular,8,118,2,-1,0,unknown,no
33,management,married,tertiary,no,331,yes,no,cellular,13,94,3,-1,0,unknown,no
31,unemployed,single,tertiary,no,1611,yes,no,unknown,23,154,2,-1,0,unknown,no
47,blue-collar,married,secondary,no,581,yes,no,cellular,26,79,6,-1,0,unknown,no
56,retired,married,secondary,no,5737,no,no,cellular,5,11,5,-1,0,unknown,no
58,self-employed,divorced,tertiary,no,1382,no,no,unknown,9,700,1,-1,0,unknown,yes
54,blue-collar,divorced,secondary,no,218,no,no,unknown,6,514,2,-1,0,unknown,no
58,blue-collar,married,primary,no,128,yes,no,telephone,30,49,5,-1,0,unknown,no
58,admin.,divorced,secondary,no,3058,yes,no,telephone,11,114,1,368,1,failure,no
35,management,married,tertiary,no,854,no,yes,cellular,19,133,20,-1,0,unknown,no
28,admin.,single,secondary,no,762,no,no,cellular,18,115,3,-1,0,unknown,yes
41,blue-collar,divorced,secondary,no,351,yes,no,cellular,6,12,8,268,9,other,no
59,entrepreneur,married,secondary,no,496,no,no,cellular,22,738,3,183,1,success,yes
28,admin.,married,secondary,no,6429,yes,yes,unknown,27,345,2,-1,0,unknown,no
27,technician,married,secondary,no,-147,yes,yes,unknown,21,239,4,-1,0,unknown,no
28,admin.,married,secondary,no,49,yes,no,cellular,20,17,3,-1,0,unknown,no
32,technician,married,secondary,no,-1,no,no,cellular,14,153,6,-1,0,unknown,no
38,technician,married,unknown,no,90,yes,yes,unknown,8,20,2,-1,0,unknown,no
35,management,married,secondary,no,339,yes,no,unknown,23,317,1,-1,0,unknown,no
25,blue-collar,married,secondary,no,0,no,yes,cellular,15,1424,4,-1,0,unknown,yes
48,technician,single,secondary,no,-92,yes,no,cellular,3,1393,1,-1,0,unknown,yes
30,admin.,single,secondary,no,2702,yes,no,cellular,24,129,2,-1,0,unknown,no
34,services,married,secondary,no,1076,no,no,cellular,12,152,1,182,6,success,yes
57,management,married,tertiary,no,10583,no,no,cellular,25,272,1,178,6,success,yes
30,technician,single,primary,no,2731,yes,no,cellular,14,314,1,-1,0,unknown,no
34,admin.,married,secondary,no,247,yes,yes,unknown,12,1727,5,-1,0,unknown,no
48,self-employed,married,tertiary,no,7,yes,no,unknown,5,286,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,315,no,no,cellular,4,146,3,-1,0,unknown,yes
24,admin.,single,secondary,no,172,no,no,cellular,3,114,1,-1,0,unknown,no
56,unemployed,married,primary,no,122,no,no,cellular,4,72,2,-1,0,unknown,no
50,blue-collar,married,primary,no,0,no,no,cellular,21,281,2,191,2,failure,no
52,admin.,married,secondary,no,1933,yes,no,unknown,21,153,4,-1,0,unknown,no
47,services,married,secondary,no,-98,yes,yes,telephone,13,211,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,658,yes,yes,cellular,17,268,1,270,1,failure,no
44,technician,divorced,unknown,no,759,yes,no,unknown,23,397,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,157,yes,no,unknown,20,315,1,-1,0,unknown,no
45,management,single,tertiary,no,4831,no,no,cellular,29,479,11,-1,0,unknown,yes
56,technician,married,secondary,no,23,no,no,cellular,20,857,3,-1,0,unknown,yes
29,blue-collar,married,secondary,no,43,yes,no,unknown,6,268,2,-1,0,unknown,no
60,technician,married,tertiary,no,91,no,no,cellular,27,105,4,-1,0,unknown,no
42,technician,married,unknown,no,1559,no,no,cellular,30,368,1,-1,0,unknown,yes
43,management,single,secondary,yes,-1164,yes,yes,cellular,18,76,4,-1,0,unknown,no
35,management,married,unknown,no,2326,yes,yes,cellular,16,319,1,-1,0,unknown,yes
44,unemployed,married,secondary,no,304,yes,no,unknown,12,129,2,-1,0,unknown,no
36,admin.,married,secondary,no,2030,yes,no,unknown,20,24,1,-1,0,unknown,no
36,blue-collar,married,primary,no,-327,yes,yes,unknown,23,691,1,-1,0,unknown,no
33,services,single,secondary,no,6531,yes,no,unknown,3,495,3,-1,0,unknown,no
59,blue-collar,divorced,primary,no,55,no,no,cellular,7,13,20,-1,0,unknown,no
29,entrepreneur,single,tertiary,no,11,yes,no,unknown,12,214,4,-1,0,unknown,no
34,services,married,unknown,no,0,yes,no,telephone,31,65,4,-1,0,unknown,no
56,entrepreneur,married,tertiary,no,-124,yes,no,unknown,15,374,5,-1,0,unknown,no
38,admin.,married,primary,no,-175,yes,no,telephone,21,86,9,-1,0,unknown,no
55,retired,married,primary,no,150,no,no,cellular,8,124,1,-1,0,unknown,no
31,self-employed,married,tertiary,no,5,yes,yes,cellular,21,635,1,135,2,failure,yes
58,management,married,primary,no,1136,no,no,unknown,17,65,3,-1,0,unknown,no
37,blue-collar,married,primary,no,1720,yes,no,unknown,2,118,1,-1,0,unknown,no
59,admin.,married,secondary,no,-396,yes,no,unknown,26,204,1,-1,0,unknown,no
42,management,single,tertiary,no,145,no,no,cellular,26,174,2,-1,0,unknown,no
35,blue-collar,married,primary,no,414,no,no,unknown,13,504,4,-1,0,unknown,yes
49,housemaid,married,tertiary,no,50,yes,yes,cellular,29,149,1,-1,0,unknown,no
32,management,single,secondary,no,-515,yes,yes,cellular,3,19,6,-1,0,unknown,no
46,unemployed,married,secondary,no,562,no,no,cellular,8,491,1,-1,0,unknown,no
50,management,married,tertiary,no,1597,no,no,cellular,19,374,2,-1,0,unknown,no
30,blue-collar,married,secondary,no,913,yes,yes,cellular,19,433,2,-1,0,unknown,no
36,blue-collar,married,secondary,no,688,yes,no,unknown,6,174,2,-1,0,unknown,no
43,blue-collar,married,secondary,no,625,yes,no,unknown,30,175,1,-1,0,unknown,no
43,services,single,secondary,no,550,yes,no,cellular,13,107,2,-1,0,unknown,no
38,admin.,single,secondary,no,100,yes,no,unknown,7,786,1,-1,0,unknown,yes
34,management,married,tertiary,no,589,no,no,cellular,1,300,1,44,3,other,yes
45,admin.,married,secondary,no,362,no,no,cellular,12,536,4,-1,0,unknown,no
45,unemployed,single,secondary,no,17609,no,no,cellular,9,222,6,-1,0,unknown,no
25,technician,married,tertiary,no,2551,no,no,cellular,28,400,3,-1,0,unknown,yes
27,admin.,single,unknown,no,5,yes,no,cellular,17,225,2,-1,0,unknown,no
32,technician,married,secondary,no,348,yes,no,cellular,17,926,1,-1,0,unknown,yes
32,technician,married,secondary,no,1539,yes,no,cellular,13,160,3,-1,0,unknown,no
26,technician,single,secondary,no,668,yes,no,unknown,28,576,3,-1,0,unknown,yes
72,retired,married,tertiary,no,3561,no,no,telephone,15,511,3,184,7,success,yes
41,management,married,tertiary,no,4824,no,yes,cellular,18,168,7,-1,0,unknown,no
60,technician,married,secondary,no,294,no,no,telephone,3,206,4,-1,0,unknown,yes
25,blue-collar,single,secondary,no,-247,yes,no,cellular,23,633,1,-1,0,unknown,yes
40,blue-collar,married,secondary,no,952,no,yes,unknown,12,140,1,-1,0,unknown,no
49,admin.,married,secondary,no,13229,no,yes,telephone,8,77,2,-1,0,unknown,no
53,entrepreneur,married,unknown,no,28,no,no,cellular,31,117,2,-1,0,unknown,no
53,unemployed,single,secondary,no,4,no,no,cellular,30,259,3,-1,0,unknown,no
52,management,married,primary,no,740,no,no,unknown,16,206,1,-1,0,unknown,no
47,blue-collar,married,primary,no,4520,no,no,cellular,11,356,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,94,yes,no,cellular,20,75,1,-1,0,unknown,no
48,blue-collar,married,secondary,no,1596,yes,no,unknown,14,760,1,-1,0,unknown,yes
43,services,single,secondary,no,2444,no,yes,cellular,2,130,1,-1,0,unknown,no
30,technician,married,tertiary,no,71,yes,no,cellular,25,800,2,-1,0,unknown,no
30,services,married,secondary,no,5,no,yes,cellular,10,829,5,-1,0,unknown,yes
35,blue-collar,married,primary,no,445,yes,no,cellular,13,237,2,363,2,other,no
27,blue-collar,divorced,secondary,no,1,yes,no,cellular,14,116,3,-1,0,unknown,no
35,student,single,unknown,no,298,yes,no,unknown,5,611,2,-1,0,unknown,no
38,management,divorced,tertiary,no,6368,yes,no,cellular,4,922,4,-1,0,unknown,yes
33,admin.,divorced,tertiary,no,891,no,no,cellular,8,398,2,-1,0,unknown,yes
44,blue-collar,single,secondary,no,0,no,no,cellular,20,133,1,-1,0,unknown,yes
36,technician,divorced,secondary,no,1,no,no,cellular,8,1242,3,-1,0,unknown,yes
29,management,single,unknown,no,698,no,no,cellular,8,186,1,-1,0,unknown,no
39,entrepreneur,divorced,secondary,no,990,yes,no,cellular,23,55,1,-1,0,unknown,no
31,services,single,secondary,no,1510,yes,no,cellular,13,72,4,176,1,failure,no
55,management,married,tertiary,no,913,no,no,unknown,17,462,5,-1,0,unknown,no
45,technician,divorced,secondary,no,245,yes,no,cellular,30,76,3,-1,0,unknown,no
58,retired,married,unknown,no,9004,no,no,cellular,21,891,4,-1,0,unknown,yes
29,blue-collar,married,secondary,no,1074,no,no,cellular,2,153,1,-1,0,unknown,no
36,technician,married,tertiary,no,1109,no,no,cellular,13,328,2,-1,0,unknown,no
45,management,divorced,primary,no,274,no,yes,cellular,4,101,1,-1,0,unknown,no
54,services,single,secondary,no,8289,no,no,unknown,26,133,2,-1,0,unknown,no
37,blue-collar,married,primary,no,27,no,no,unknown,6,80,1,-1,0,unknown,no
49,management,married,tertiary,no,865,no,no,cellular,28,280,1,-1,0,unknown,no
45,blue-collar,married,secondary,no,1144,yes,no,unknown,22,676,1,-1,0,unknown,yes
29,management,married,tertiary,no,1474,yes,yes,unknown,29,79,3,-1,0,unknown,no
26,technician,single,secondary,no,1256,no,no,unknown,26,404,1,-1,0,unknown,no
49,housemaid,married,tertiary,no,443,no,no,cellular,8,27,6,-1,0,unknown,no
45,management,married,secondary,no,446,no,no,cellular,6,304,3,-1,0,unknown,yes
32,management,married,tertiary,no,1337,no,no,cellular,13,283,2,-1,0,unknown,no
48,management,single,tertiary,no,191,yes,no,cellular,17,222,1,326,1,failure,no
32,admin.,married,secondary,no,8749,yes,yes,unknown,21,294,1,-1,0,unknown,yes
31,management,single,secondary,yes,20,yes,no,cellular,28,141,5,-1,0,unknown,no
33,management,married,tertiary,no,1412,no,no,cellular,6,433,2,-1,0,unknown,no
32,technician,married,secondary,yes,-71,yes,no,unknown,28,78,2,-1,0,unknown,no
36,management,married,secondary,no,0,no,no,cellular,20,80,1,-1,0,unknown,no
50,blue-collar,married,primary,no,414,yes,no,unknown,29,121,1,-1,0,unknown,no
26,services,single,primary,no,179,yes,yes,cellular,28,333,4,-1,0,unknown,no
32,management,married,tertiary,no,578,no,yes,cellular,22,29,2,-1,0,unknown,no
47,services,married,secondary,no,837,yes,yes,unknown,16,136,1,-1,0,unknown,no
44,management,single,tertiary,no,300,yes,no,cellular,17,48,1,-1,0,unknown,no
38,services,divorced,secondary,no,710,yes,no,cellular,18,1880,2,-1,0,unknown,no
31,admin.,married,secondary,no,113,yes,no,cellular,18,474,3,-1,0,unknown,no
31,entrepreneur,married,tertiary,no,-231,yes,no,cellular,26,221,2,-1,0,unknown,no
55,admin.,divorced,unknown,no,789,yes,no,unknown,13,434,2,-1,0,unknown,no
35,blue-collar,married,secondary,no,1287,yes,no,cellular,14,330,2,-1,0,unknown,no
38,unemployed,married,secondary,no,995,no,no,unknown,26,84,1,-1,0,unknown,no
29,management,single,tertiary,no,5359,no,no,cellular,18,147,1,-1,0,unknown,yes
33,management,single,tertiary,no,718,yes,no,cellular,18,104,1,111,4,success,no
33,services,married,secondary,yes,-319,yes,no,cellular,25,142,1,-1,0,unknown,no
28,technician,married,secondary,no,742,no,no,cellular,26,236,1,-1,0,unknown,yes
70,retired,married,primary,no,324,no,no,cellular,11,632,1,308,6,other,yes
32,management,married,secondary,no,251,no,no,cellular,25,272,6,-1,0,unknown,no
38,services,married,secondary,no,434,yes,no,unknown,20,411,1,-1,0,unknown,no
33,management,single,tertiary,no,71,no,no,cellular,22,107,6,-1,0,unknown,no
61,retired,married,tertiary,no,32685,no,no,cellular,2,1447,2,-1,0,unknown,yes
39,services,married,secondary,no,1068,yes,no,cellular,14,214,3,-1,0,unknown,no
44,blue-collar,married,primary,no,2470,no,no,telephone,21,19,1,-1,0,unknown,no
33,management,single,tertiary,no,87,no,no,cellular,12,978,1,-1,0,unknown,yes
29,management,single,tertiary,no,841,no,no,cellular,5,217,1,-1,0,unknown,no
49,unemployed,married,tertiary,no,377,no,no,cellular,22,158,1,59,2,failure,no
45,blue-collar,married,secondary,no,79,yes,no,cellular,25,98,1,-1,0,unknown,no
33,management,single,tertiary,no,1011,yes,no,unknown,12,1495,4,-1,0,unknown,no
48,management,divorced,tertiary,no,174,no,no,cellular,6,290,2,-1,0,unknown,no
69,retired,married,tertiary,no,473,no,no,cellular,20,333,1,-1,0,unknown,no
37,housemaid,married,primary,no,94,yes,no,cellular,20,114,2,-1,0,unknown,no
42,management,married,tertiary,no,254,no,no,cellular,9,288,7,183,4,success,yes
53,admin.,divorced,secondary,no,-112,no,no,unknown,19,394,1,-1,0,unknown,no
61,management,single,tertiary,no,2,no,no,cellular,12,131,1,114,3,failure,yes
29,blue-collar,married,primary,no,50,no,no,cellular,8,185,2,-1,0,unknown,no
30,admin.,single,secondary,no,3528,no,no,cellular,4,250,1,92,2,failure,yes
39,services,married,secondary,no,1099,no,no,cellular,29,211,2,245,6,failure,no
50,technician,divorced,unknown,no,2794,no,no,cellular,12,1336,2,-1,0,unknown,yes
49,blue-collar,married,secondary,no,30,yes,no,unknown,5,135,4,-1,0,unknown,no
54,self-employed,divorced,tertiary,no,0,yes,yes,cellular,29,309,3,-1,0,unknown,no
